case_id,case_outcome,case_title,case_text
Case13600,cited,Attorney-General (NSW) v Quin [1990] HCA 21 ; (1990) 170 CLR 1,"Before turning to consider each of the grounds of review, it must be noted that, to a significant extent, the Applicant's written and oral submissions proceeded, or at least appeared to proceed, on the premise that the Court's task involved a reconsideration of the merits of the decision. That premise is not correct. As was said by Brennan J in Attorney-General (NSW) v Quin [1990] HCA 21 ; (1990) 170 CLR 1 at 35-36: The duty and jurisdiction of the court to review administrative action do not go beyond the declaration and enforcing of the law which determines the limits and governs the exercise of the repository's power. If, in so doing, the court avoids administrative injustice or error, so be it; but the court has no jurisdiction simply to cure administrative injustice or error. The merits of administrative action, to the extent that they can be distinguished from legality, are for the repository of the relevant power and, subject to political control, for the repository alone. 11 It is not disputed that the factors the Respondent was required to take into account were affected by the proper construction of reg 20.3(3)(a). The issue was whether the Respondent's construction of reg 20.3(3) (see [6] above) was the proper construction. In my view, subject to one exception which did not affect the Applicant adversely, it was the proper construction. 12 The Respondent concluded that reg 20.3(3)(a)(ii) refers to employment in a company or firm in which an employee undertakes patent work for that company or firm and does not extend to include experience in a law firm undertaken on behalf of client companies or firms. Again, subject to one issue which does not affect the outcome of the current application, the Respondent's construction was consistent with the express words of the 1990 Patents Act and the Regulations. 44 The Applicant nevertheless submitted that if that was the object of the legislation and the Regulations, then the regulation is both over and under-inclusive. It is over-inclusive in the Applicant's submission because a person who is employed as a technical assistant for one year but spends the whole year making photocopies will nevertheless qualify for registration even though he or she has gained no experience with patent specifications. It is under-inclusive because a person who has spent a year drafting patent specifications under the supervision of a registered practitioner outside a traditional patent practice or a corporate context (eg at a university legal department) may not qualify for registration. (Whether the Respondent would or should consider a university legal department under those circumstances as a ""patent attorney's practice"" within the meaning of reg 20.3(3)(a)(i) is an interesting question.) These criticisms, though not without force, do not advance the Applicant's case. Every system of rules-based credentialing, and every bright-line rule generally, suffers from the same flaws: no doubt there are many articled clerks who spend two years in a conference room reviewing documents and never learn to draft a pleading or a contract; and, no doubt, there are many 17 year-olds who are mature enough to vote (and some 19 year-olds who are not). Despite these drawbacks, bright-line rules are preferred over case-by-case decision-making in many instances because it is judged by the rule-making authority where the advantages in administrative efficiency, transparency, and certainty outweigh the disadvantages of over and under-inclusiveness. Ultimately, the Applicant's case boils down to the complaint that the Regulations are unfair and ought to be redrawn. However, the rule the Applicant seeks, whereby an Australian legal practitioner, having provided patent advice for the requisite period, is exempted from having to obtain further work experience in order to become a registered patent attorney, is a matter for government to provide for, not the courts. While the rejection of his application by the Respondent may seem unjust to the Applicant, it must be remembered in considering an application for judicial review that ""the court has no jurisdiction simply to cure administrative injustice"": Quin [1990] HCA 21 ; (1990) 170 CLR 1 at 36. 45 For the foregoing reasons, the Applicant's construction point fails."
Case18625,cited,Re Refugee Review Tribunal ; ex parte Aala [2000] HCA 57 ; (2000) 204 CLR 82,"Relief may be refused inter alia, where there has been waiver or acquiescence in the invalidity of the decision or where an applicant has suffered no injustice; see Re Refugee Review Tribunal ; ex parte Aala [2000] HCA 57 ; (2000) 204 CLR 82 at [57] - [58] ; see also SAAP at [80]."
Case15553,cited,Pasdale Pty Ltd v Concrete Constructions (1995) 59 FCR 446,"CJ noted that there is authority for the proposition that an application for security for costs against a company in liquidation is not a ""proceeding"" for which leave of the court is required: Pasdale Pty Ltd v Concrete Constructions (1995) 59 FCR 446; and BPM Pty Ltd v HPM Pty Ltd (1996) 131 FLR 339. However, his Honour observed that an application for security for costs can readily be distinguished from the continuation of a proceeding within the meaning of s 471B and therefore, I interpolate, s 500(2) as well."
Case22528,cited,Darling Casino Limited v Minister for Planning and Sydney Harbour Casino Pty Ltd (1995) 86 LGERA 186,"A distinction is also to be drawn between, on the one hand, questions of severance which involve an excess of power so that the ultra vires portion of an instrument can be severed and the intra vires portion preserved and, on the other hand, a lack of power to make the whole instrument by reason of a failure to comply with the consultation provision in a statute ( Darling Casino Limited v Minister for Planning and Sydney Harbour Casino Pty Ltd (1995) 86 LGERA 186). As Pearlman CJ observed in Darling Casino at 207, if the power was improperly exercised, the instrument is invalid in its totality. It is no answer that part of it could have been validly made."
Case3057,cited,Australian Competition and Consumer Commission v Midland Brick Company Pty Ltd (2004) 207 ALR 329,"The declarations, proposed by the parties, and made by the Court, identify the relevant conduct and declare that it involved contraventions of the Act . Such declarations are appropriate in circumstances such as the present. They serve the public interest by making it plain that conduct of the kind admitted by Edison contravenes the Act : see Australian Competition and Consumer Commission v Midland Brick Company Pty Ltd (2004) 207 ALR 329 at 333; Rural Press Limited v Australian Competition and Consumer Commission [2003] HCA 75 ; (2003) 216 CLR 53 at 91."
Case10395,followed,"Minister for Immigration and Multicultural Affairs v Yusuf [2001] HCA 30 , 206 CLR 323","Having considered the evidence and the submissions advanced, and extended to the Applicant a "" reasonable opportunity "" to present his case, the remaining task of the Tribunal was that set forth in s 43(2B) of the Administrative Appeals Tribunal Act , namely to make its findings on material questions of fact and refer to the evidence upon which those findings were based. That sub-section provides as follows: Where the Tribunal gives in writing the reasons for its decision, those reasons shall include its findings on material questions of fact and a reference to the evidence or other material on which those findings were based. This provision does not require the Tribunal to set forth all findings of fact, but only those findings on "" material questions of fact "": cf Minister for Immigration and Multicultural Affairs v Yusuf [2001] HCA 30 at [67] [68], [2001] HCA 30 ; 206 CLR 323 at 345 6. A more focussed submission in respect to hardship may have led the Tribunal to make a further finding. But the failure to make such a possible further finding does not expose reviewable error on the part of the Tribunal. 36 When determining whether the reasons for decision of the Tribunal have adequately dealt with the particular legal and factual issues which were advanced before it, the Court must take into account a variety of factors. These include the comparative importance (or lack of importance) of any particular submission being advanced for determination and whether the evidence being presented raises any issue in need of resolution (even if not expressly the subject of a submission, especially in the case of an unrepresented party). In the present proceeding, and in accordance with Direction No 21, the Tribunal gave consideration to those matters which the Minister and the Government "" directed "" should be given "" particular importance "" and those matters which it directed should be given "" less individual weight "". Relevantly, "" hardship "" to a party whose visa was cancelled was not a matter specifically addressed by the Direction. 42 Similarly, in Vu v Minister for Immigration and Citizenship [2008] FCAFC 12 , 101 ALD 454 Tamberlin J concluded: [13] The second submission involved the assumption, as his Honour pointed out, that it was a relevant fact for the minister to consider whether Mr Vu could receive medical treatment, in particular methadone treatment, for his heroin addiction if he goes back to Vietnam. His Honour found that the minister was aware of that fact and took it into account when making her decision. We have grave doubts that any of the particular matters of hardship identified by Mr Vu, even if not taken into account by the minister, would show jurisdictional error in her decision. The minister clearly addressed both the issue of hardship generally and each of the topics to which the direction issued under s 499(1) of the Act required the decision-maker to consider when exercising discretion. The particular matters of hardship raised by Mr Vu are not matters which, either expressly or by necessary implication from s 501 of the Act, required the minister to have regard to each of them: see Minister for Aboriginal Affairs v Peko-Wallsend Ltd [1986] HCA 40 ; (1981) 162 CLR 24 ; 66 ALR 299 ; Minister for Immigration and Multicultural Affairs v Yusuf (2001) 206 CLR 323 ; 180 ALR 1 ; 62 ALD 225 ; [2001] HCA 30. North and Mansfield JJ agreed."
Case21649,cited,"Collins Co, The v Oliver Ames &amp; Sons Corporation , 18 F 561 (1882)",
Case6431,cited,Elliott v Nanda and Another [2001] FCA 418 ; (2001) 111 FCR 240,"Under s 105 of the SDA a person who causes, instructs, aids or permits another person to do an act that is unlawful under Division 1 or 2 of Part II shall, for the purposes of the SDA, be taken also to have done the act. The meaning of the word 'permit' was discussed in Cooper v Human Rights and Equal Opportunity Commission and Another [1999] FCA 180 ; (1999) 93 FCR 481 at 494-495, [41] - [45] . Moore J in Elliott v Nanda and Another [2001] FCA 418 ; (2001) 111 FCR 240 at 293, [163] explained the operation of s 105 as pertaining to the situation where a person who is in a position to prevent allegedly unlawful conduct fails to do so. His Honour said: 'Section 105 provides a means of bringing about lawful conduct by rendering liable a person who could prevent unlawful conduct from occurring or continuing or who assists, directly or indirectly, in its performance. A person can prevent unlawful conduct by not creating a situation where it will or may take place or altering a situation so it will not continue.'"
Case15788,cited,WAKM v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 730,"The principles which apply in this situation are not in doubt. In Kovalev v Minister for Immigration [1999] FCA 557 ; (2000) 100 FCR 323 ("" Kovalev "") at 326-328, French J explained the relevant principles: ""In making a consent order the Court exercises judicial power. This is a power conferred upon it by the Parliament under Ch III of the Constitution of the Commonwealth. Its exercise is a public function and operates to bind the parties. Its public character applies to agreed orders disposing of private litigation between citizens or corporations and proceedings brought by or against governments and their agencies or public authorities. An order disposing of proceedings by consent must be self-explanatory as must any order. It is not appropriate to make an order of uncertain content or the content of which is to be derived from materials which are not on the public record. There is a fundamental difficulty where a court makes an order remitting a matter to a decision-maker or tribunal to be decided 'according to law' and the court itself is not informed of the nature of the error conceded. The court is then making an order without being apprised of its basis and proposed operation. To do so in my opinion is a purported, but not an actual exercise of judicial power. Moreover, in a practical sense the decision-maker or tribunal lacks the benefit of any binding direction from the court as to precisely what it is that the decision-maker or tribunal is required to do. In the present case the precise concession which led to the proposed consent order had not been communicated by the respondent to the applicant. The possibility arose that the matter could have been remitted to the Tribunal with the parties themselves not being ad idem as to the error of law which had led to the decision being set aside and which the Tribunal was required to rectify. And even if there had been such an agreement the terms of the order proposed would not have disclosed to the public what the parties had agreed should be its content. In the particular case where a tribunal decision is set aside, the Tribunal itself is not usually a party and has played no role in the negotiation of the agreement that it erred in law. A fortiori in that case the order must be clear and complete and the Court must be satisfied that it is appropriate. ... ... It is well-established that in making a consent order or indeed in accepting undertakings the Court must have regard to the limits of its power. The parties cannot, by consent, confer power on the Court to make orders which the Court lacks power to make Thomson Australian Holdings Pty Ltd v Trade Practices Commission ( 1981 ) [1981] HCA 48 ; 148 CLR 150 at 163. The question whether a consent order is to be made, is not concluded by a finding that it is formally within the power of the Court. In the exercise of its power the Court is not merely giving effect to the wishes of the parties, it is exercising a public function and must have regard to the public interest in doing so: see Australian Competition and Consumer Commission v Real Estate Institute (WA) Inc (1999) 161 ALR 79 at 86 and the authorities referred to there. It is important therefore that the Court itself addresses and is satisfied of the basis upon which its order is to be made and in particular where the order sets aside the decision of an official decision-maker or a tribunal. ... ... In the case of error of law attributed to a decision-maker or tribunal there is a particular public interest which requires the Court's specification of the error and its satisfaction that error occurred. It is also a substantial discourtesy for a court to overturn the decision of an official decision-maker and a fortiori that of a statutory tribunal without consideration of the error that leads to the decision being overturned or communication of the terms of that error to the decision-maker or tribunal. If such a determination is to be set aside on the basis that it has failed to apply or has misapplied the law whether substantive or procedural, there may potentially be some precedential impact in other like cases. To permit the principle underlying the order to be formulated only by the parties in their submissions to the decision-maker or the Tribunal leaves the content of that principle in the hands of the parties."" As French J noted, Sackville J had adopted a similar approach in Sanchez v Minister for Immigration and Multicultural Affairs [1999] FCA 265. Subsequently, Stone J in Yulianti v Minister for Immigration and Multicultural Affairs [2001] FCA 142 agreed with the views expressed by French J and Sackville J. Her Honour observed in addition that the grounds for the making of the order can appear in the Court's reasons for judgment, rather than in the order itself. Similar views were expressed by RD Nicholson J in Xiao v Minister for Immigration [2001] FCA 459 ; (2001) 109 FCR 129. The principles explained by French J in Kovalev have been approved numerous times: see Re Allan and Repatriation Commission (2003) 77 ALD 140 at 144-145 [12]-[14]; Lobo v Minister for Immigration and Multicultural and Indigenous Affairs [2003] FCAFC 168 ; (2003) 132 FCR 93 at 110 [55] - [56] ; and WAKM v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 730 at [5] ."
Case24288,referred to,Federal Commissioner of Taxation v Stone [2005] HCA 21 ; (2005) 222 CLR 289,"As the joint judgment observed in Federal Commissioner of Taxation v Stone [2005] HCA 21 ; (2005) 222 CLR 289 , at 294 [8], the reference to ' income according to ordinary concepts ' in s 6 -5(1) of the ITAA is evidently to Sir Frederick Jordan's statement in Scott v Federal Commissioner of Taxation (1935) 35 SR (NSW) 215 , at 219, as follows: 'The word ""income"" is not a term of art, and what forms of receipts are comprehended within it, and what principles are to be applied to ascertain how much of those receipts ought to be treated as income, must be determined in accordance with the ordinary concepts and usages of mankind, except in so far as the statute states or indicates an intention that receipts which are not income in ordinary parlance are to be treated as income, or that special rules are to be applied for arriving at the taxable amount of such receipts.'"
